algorithm,array_type,array_size,comparisons,swaps,recursive_calls,execution_time,memory_current,memory_peak
bubblesort,random,10,45,18,0,4.976299896952696e-05,194575,732169
bubblesort,ordered,10,45,0,0,4.6457000280497596e-05,80,208
bubblesort,reverse,10,45,45,0,4.261000140104443e-05,80,208
bubblesort,random,100,4950,2311,0,0.061867691001680214,3880,4104
bubblesort,ordered,100,4950,0,0,0.03357542300000205,928,1056
bubblesort,reverse,100,4950,4950,0,0.05472355999881984,960,1088
bubblesort,random,1000,499500,240225,0,7.031652792000386,8200,8484
bubblesort,ordered,1000,499500,0,0,3.4627116819974617,8168,8452
bubblesort,reverse,1000,499500,499500,0,7.449761754000065,8200,8484
bubblesort,random,10000,49995000,25016100,0,608.7824758269999,83812,149821
bubblesort,ordered,10000,49995000,0,0,347.90844115800064,83844,149885
bubblesort,reverse,10000,49995000,49995000,0,785.4130301929981,85607,169935
insertionsort,random,10,27,20,0,5.4422998800873756e-05,80,168
insertionsort,ordered,10,9,0,0,3.0105999030638486e-05,80,168
insertionsort,reverse,10,45,45,0,4.180899850325659e-05,80,168
insertionsort,random,100,2553,2459,0,0.010880377001740271,960,1032
insertionsort,ordered,100,99,0,0,4.8071000492200255e-05,800,888
insertionsort,reverse,100,4950,4950,0,0.03516310600025463,992,1064
insertionsort,random,1000,252571,251575,0,2.3014913529987098,8192,8356
insertionsort,ordered,1000,999,0,0,0.002641017999849282,8032,8196
insertionsort,reverse,1000,499500,499500,0,4.560905958998774,8192,8356
insertionsort,random,10000,24842782,24832791,0,302.12070467399826,83868,149869
insertionsort,ordered,10000,9999,0,0,0.1196063259994844,80160,80324
insertionsort,reverse,10000,49995000,49995000,0,530.457990177998,82266,148215
selectionsort,random,10,45,8,0,5.843999679200351e-05,80,208
selectionsort,ordered,10,45,0,0,4.033599907415919e-05,80,208
selectionsort,reverse,10,45,5,0,3.605800156947225e-05,80,208
selectionsort,random,100,4950,97,0,0.012333285998465726,896,1024
selectionsort,ordered,100,4950,0,0,0.012668236999161309,896,1024
selectionsort,reverse,100,4950,50,0,0.015661107998312218,1032,1192
selectionsort,random,1000,499500,992,0,2.6420495359998313,8264,8588
selectionsort,ordered,1000,499500,0,0,2.093611215997953,8232,8556
selectionsort,reverse,1000,499500,500,0,2.3088491809976404,8264,8548
selectionsort,random,10000,49995000,9991,0,252.5095511139989,82490,148783
selectionsort,ordered,10000,49995000,0,0,244.80188904200259,83968,162341
selectionsort,reverse,10000,49995000,5000,0,228.03490871199756,162648,163392
mergesort,random,10,23,13,9,0.00024274799943668768,1184,1352
mergesort,ordered,10,15,0,9,0.00020463600230868906,1128,1376
mergesort,reverse,10,19,19,9,0.0003114380015176721,1128,1376
mergesort,random,100,544,283,99,0.0036911450006300583,2072,3824
mergesort,ordered,100,316,0,99,0.0015651729991077445,2072,4104
mergesort,reverse,100,356,356,99,0.0011405110053601675,2104,4136
mergesort,random,1000,8726,4395,999,0.06451969999761786,130044,146492
mergesort,ordered,1000,4932,0,999,0.020518375000392552,25436,45500
mergesort,reverse,1000,5044,5044,999,0.016888026002561674,9776,29840
mergesort,random,10000,120486,61344,9999,1.2319478360004723,1426772,1590548
mergesort,ordered,10000,64608,0,9999,0.6395498220008449,81472,281536
mergesort,reverse,10000,69008,69008,9999,1.0007895420058048,81504,281568
quicksort,random,10,33,26,0,0.00013995400513522327,162892,163004
quicksort,ordered,10,9,0,0,0.00016506199608556926,1456,1568
quicksort,reverse,10,45,45,0,0.00015252799494192004,161636,161748
quicksort,random,100,635,377,14,0.0015252980010700412,2184,3072
quicksort,ordered,100,488,30,15,0.0009091850006370805,2104,2992
quicksort,reverse,100,878,508,17,0.001411253004334867,2184,3072
quicksort,random,1000,10202,4964,146,0.23054436600068584,11372,20392
quicksort,ordered,1000,7879,254,127,0.026251824005157687,13896,22744
quicksort,reverse,1000,15753,7464,224,0.040957851997518446,9288,18496
quicksort,random,10000,137409,68908,1473,0.39547774200036656,81504,162752
quicksort,ordered,10000,108986,2046,1023,0.22756902100081788,81560,162304
quicksort,reverse,10000,231487,100736,2346,0.6776506239984883,81560,163392
shellsort,random,10,29,19,0,2.8654001653194427e-05,104,248
shellsort,ordered,10,15,0,0,9.787996532395482e-06,104,248
shellsort,reverse,10,21,13,0,1.047999830916524e-05,104,248
shellsort,random,100,734,435,0,0.0007092490050126798,888,1752
shellsort,ordered,100,342,0,0,0.00011359400377841666,856,1704
shellsort,reverse,100,500,230,0,0.000269919000857044,856,1720
shellsort,random,1000,13312,8301,0,0.07317479100311175,10254,84175
shellsort,ordered,1000,5457,0,0,0.017756184002791997,8056,16212
shellsort,reverse,1000,8550,3920,0,0.033826316001068335,8088,16276
shellsort,random,10000,228792,157837,0,1.110472940003092,80088,160308
shellsort,ordered,10000,75243,0,0,0.2112105049964157,80056,160244
shellsort,reverse,10000,120190,53704,0,0.4415824959942256,80088,160276
